model,attack_type,n_samples,n_bonafide,n_spoof,eer
SI Layer 19,A13,12269,7355,4914,0.013596193079237361
SI Layer 20,A13,12269,7355,4914,0.02035002034985255
SI Layer 21,A13,12269,7355,4914,0.013596192912984438
SI Layer 22,A13,12269,7355,4914,0.013596192912984438
SI Layer 23,A13,12269,7355,4914,0.0
SI Layer 24,A13,12269,7355,4914,0.0
WavLM Frozen,A14,12269,7355,4914,1.862678449892109
Speaker Invariant (n=10),A14,12269,7355,4914,1.0785510785521244
RawNet2,A14,12269,7355,4914,0.7529507529556267
AASIST,A14,12269,7355,4914,0.16280016279870282
SI Layer 0,A14,12269,7355,4914,2.950752950749648
SI Layer 1,A14,12269,7355,4914,4.09035409038022
SI Layer 2,A14,12269,7355,4914,1.2644459550335934
SI Layer 3,A14,12269,7355,4914,1.196464989758558
SI Layer 4,A14,12269,7355,4914,1.4855514855493879
SI Layer 5,A14,12269,7355,4914,0.25832766835233273
SI Layer 6,A14,12269,7355,4914,0.31271244056522
SI Layer 7,A14,12269,7355,4914,0.1495581237502447
SI Layer 8,A14,12269,7355,4914,0.08157715846076058
SI Layer 9,A14,12269,7355,4914,0.06798096527234933
SI Layer 10,A14,12269,7355,4914,0.06798096537733214
SI Layer 11,A14,12269,7355,4914,0.20350020350020448
SI Layer 12,A14,12269,7355,4914,0.13596193057149564
SI Layer 13,A14,12269,7355,4914,0.10876954455721229
SI Layer 14,A14,12269,7355,4914,0.14245014244199072
SI Layer 15,A14,12269,7355,4914,0.2311352821454235
SI Layer 16,A14,12269,7355,4914,0.17675050996000924
SI Layer 17,A14,12269,7355,4914,0.22385022385021683
SI Layer 18,A14,12269,7355,4914,0.3535010198250059
SI Layer 19,A14,12269,7355,4914,0.4070004070004012
SI Layer 20,A14,12269,7355,4914,0.7529507529526891
SI Layer 21,A14,12269,7355,4914,0.5087505087520321
SI Layer 22,A14,12269,7355,4914,0.529100529100521
SI Layer 23,A14,12269,7355,4914,0.5302515297368087
SI Layer 24,A14,12269,7355,4914,1.0785510785521244
WavLM Frozen,A15,12269,7355,4914,1.3431013431255352
Speaker Invariant (n=10),A15,12269,7355,4914,1.3324269205448764
RawNet2,A15,12269,7355,4914,1.7908017908017837
AASIST,A15,12269,7355,4914,0.5291005290872562
SI Layer 0,A15,12269,7355,4914,32.45411284834191
SI Layer 1,A15,12269,7355,4914,12.047212047215746
SI Layer 2,A15,12269,7355,4914,5.860805860805862
SI Layer 3,A15,12269,7355,4914,2.7192386131391815
SI Layer 4,A15,12269,7355,4914,2.3809523809523867
SI Layer 5,A15,12269,7355,4914,0.9517335146992368
SI Layer 6,A15,12269,7355,4914,0.7885791978733958
SI Layer 7,A15,12269,7355,4914,0.7529507529788892
SI Layer 8,A15,12269,7355,4914,0.36709721285149177
SI Layer 9,A15,12269,7355,4914,0.18315018314686848
SI Layer 10,A15,12269,7355,4914,0.12236573773777042
SI Layer 11,A15,12269,7355,4914,0.3663003663001672
SI Layer 12,A15,12269,7355,4914,0.3459503459504869
SI Layer 13,A15,12269,7355,4914,0.5030591433558702
SI Layer 14,A15,12269,7355,4914,0.5494505494505482
SI Layer 15,A15,12269,7355,4914,0.6254248809707736
SI Layer 16,A15,12269,7355,4914,0.48840048843873324
SI Layer 17,A15,12269,7355,4914,0.5087505087491062
SI Layer 18,A15,12269,7355,4914,0.752950752950753
SI Layer 19,A15,12269,7355,4914,0.9768009768009557
SI Layer 20,A15,12269,7355,4914,1.3227513227515328
SI Layer 21,A15,12269,7355,4914,1.0582010582010564
SI Layer 22,A15,12269,7355,4914,0.8547008547008513
SI Layer 23,A15,12269,7355,4914,0.9245411284861217
SI Layer 24,A15,12269,7355,4914,1.33242692056163
WavLM Frozen,A16,12269,7355,4914,0.7122507122809002
Speaker Invariant (n=10),A16,12269,7355,4914,0.6512006512002866
RawNet2,A16,12269,7355,4914,2.5016995241514715
AASIST,A16,12269,7355,4914,0.6512006511998885
SI Layer 0,A16,12269,7355,4914,1.0061182869749354
SI Layer 1,A16,12269,7355,4914,0.0814000813999528
SI Layer 2,A16,12269,7355,4914,0.02719238610391549
SI Layer 3,A16,12269,7355,4914,0.04078857925166154
SI Layer 4,A16,12269,7355,4914,0.020350020350028863
SI Layer 5,A16,12269,7355,4914,0.027192386194499332
SI Layer 6,A16,12269,7355,4914,0.08140008139688198
SI Layer 7,A16,12269,7355,4914,0.04078857921214434
SI Layer 8,A16,12269,7355,4914,0.04078857922265129
SI Layer 9,A16,12269,7355,4914,0.061050061025011405
SI Layer 10,A16,12269,7355,4914,0.06798096516179714
SI Layer 11,A16,12269,7355,4914,0.10876954455110262
SI Layer 12,A16,12269,7355,4914,0.06798096533921298
SI Layer 13,A16,12269,7355,4914,0.1631543168590813
SI Layer 14,A16,12269,7355,4914,0.22385022383951872
SI Layer 15,A16,12269,7355,4914,0.27192386142837227
SI Layer 16,A16,12269,7355,4914,0.25832766826478126
SI Layer 17,A16,12269,7355,4914,0.2849002848763341
SI Layer 18,A16,12269,7355,4914,0.421481985094519
SI Layer 19,A16,12269,7355,4914,0.3663003663003563
SI Layer 20,A16,12269,7355,4914,0.3806934057387026
SI Layer 21,A16,12269,7355,4914,0.3052503052503076
SI Layer 22,A16,12269,7355,4914,0.3942895990281786
SI Layer 23,A16,12269,7355,4914,0.5698005698003861
SI Layer 24,A16,12269,7355,4914,0.6512006512003136
WavLM Frozen,A17,12269,7355,4914,1.0378510378510346
Speaker Invariant (n=10),A17,12269,7355,4914,1.8111518111518121
RawNet2,A17,12269,7355,4914,35.18518518518565
AASIST,A17,12269,7355,4914,1.282051282051278
SI Layer 0,A17,12269,7355,4914,20.065120065153845
SI Layer 1,A17,12269,7355,4914,4.314204314236146
SI Layer 2,A17,12269,7355,4914,1.3868116926399408
SI Layer 3,A17,12269,7355,4914,0.7477906186631317
SI Layer 4,A17,12269,7355,4914,0.6715506715506687
SI Layer 5,A17,12269,7355,4914,0.3263086335576348
SI Layer 6,A17,12269,7355,4914,0.16315431680275305
SI Layer 7,A17,12269,7355,4914,0.13596193073730176
SI Layer 8,A17,12269,7355,4914,0.19034670290350106
SI Layer 9,A17,12269,7355,4914,0.14245014244993418
SI Layer 10,A17,12269,7355,4914,0.10876954471459774
SI Layer 11,A17,12269,7355,4914,0.21753908913768813
SI Layer 12,A17,12269,7355,4914,0.28552005447970596
SI Layer 13,A17,12269,7355,4914,0.38069340591673567
SI Layer 14,A17,12269,7355,4914,0.671550671551002
SI Layer 15,A17,12269,7355,4914,0.6308506308868005
SI Layer 16,A17,12269,7355,4914,0.5494505494600596
SI Layer 17,A17,12269,7355,4914,0.7936507936507908
SI Layer 18,A17,12269,7355,4914,0.8429639700236408
SI Layer 19,A17,12269,7355,4914,0.9245411283927196
SI Layer 20,A17,12269,7355,4914,0.9768009768341872
SI Layer 21,A17,12269,7355,4914,0.8140008140016572
SI Layer 22,A17,12269,7355,4914,1.019714480044565
SI Layer 23,A17,12269,7355,4914,1.505901505901521
SI Layer 24,A17,12269,7355,4914,1.8111518111518121
WavLM Frozen,A18,12269,7355,4914,0.9109449353653513
Speaker Invariant (n=10),A18,12269,7355,4914,0.9564509564104559
RawNet2,A18,12269,7355,4914,33.29263329263329
AASIST,A18,12269,7355,4914,2.651257647967208
SI Layer 0,A18,12269,7355,4914,2.7600271923537423
SI Layer 1,A18,12269,7355,4914,0.3263086335860109
SI Layer 2,A18,12269,7355,4914,0.020350020350021297
SI Layer 3,A18,12269,7355,4914,0.6105006105068385
SI Layer 4,A18,12269,7355,4914,1.101291638437004
SI Layer 5,A18,12269,7355,4914,0.1424501424501992
SI Layer 6,A18,12269,7355,4914,0.1495581237997017
SI Layer 7,A18,12269,7355,4914,0.12210012210011774
SI Layer 8,A18,12269,7355,4914,0.09517335161108993
SI Layer 9,A18,12269,7355,4914,0.08157715844239276
SI Layer 10,A18,12269,7355,4914,0.09517335138830779
SI Layer 11,A18,12269,7355,4914,0.10876954445602335
SI Layer 12,A18,12269,7355,4914,0.12210012209961074
SI Layer 13,A18,12269,7355,4914,0.21753908898975075
SI Layer 14,A18,12269,7355,4914,0.32560032560032953
SI Layer 15,A18,12269,7355,4914,0.3806934059249003
SI Layer 16,A18,12269,7355,4914,0.38069340580150307
SI Layer 17,A18,12269,7355,4914,0.3535010197213607
SI Layer 18,A18,12269,7355,4914,0.28552005446737816
SI Layer 19,A18,12269,7355,4914,0.39428959892048465
SI Layer 20,A18,12269,7355,4914,0.625424881011343
SI Layer 21,A18,12269,7355,4914,0.5574439158347374
SI Layer 22,A18,12269,7355,4914,0.42148198511661866
SI Layer 23,A18,12269,7355,4914,0.9925220938257401
SI Layer 24,A18,12269,7355,4914,0.9564509564134382
WavLM Frozen,A19,12269,7355,4914,5.125764785839794
Speaker Invariant (n=10),A19,12269,7355,4914,5.166553365102107
RawNet2,A19,12269,7355,4914,18.055744391710384
AASIST,A19,12269,7355,4914,0.6662134601321107
SI Layer 0,A19,12269,7355,4914,0.9768009768009456
SI Layer 1,A19,12269,7355,4914,0.2645502645502674
SI Layer 2,A19,12269,7355,4914,0.09517335158534419
SI Layer 3,A19,12269,7355,4914,0.22385022390008272
SI Layer 4,A19,12269,7355,4914,0.284900284894887
SI Layer 5,A19,12269,7355,4914,0.13596193063377013
SI Layer 6,A19,12269,7355,4914,0.12210012210049366
SI Layer 7,A19,12269,7355,4914,0.19034670279385638
SI Layer 8,A19,12269,7355,4914,0.1903467029359685
SI Layer 9,A19,12269,7355,4914,0.1831501831978794
SI Layer 10,A19,12269,7355,4914,0.26455026455025593
SI Layer 11,A19,12269,7355,4914,0.5087505087508197
SI Layer 12,A19,12269,7355,4914,0.734194425717029
SI Layer 13,A19,12269,7355,4914,1.155676410514943
SI Layer 14,A19,12269,7355,4914,1.672331747204144
SI Layer 15,A19,12269,7355,4914,1.7403127123272066
SI Layer 16,A19,12269,7355,4914,2.0553520553608577
SI Layer 17,A19,12269,7355,4914,2.637661454778706
SI Layer 18,A19,12269,7355,4914,2.923181509138919
SI Layer 19,A19,12269,7355,4914,3.1679129841819864
SI Layer 20,A19,12269,7355,4914,2.971102971102966
SI Layer 21,A19,12269,7355,4914,3.3781033780575656
SI Layer 22,A19,12269,7355,4914,3.426240652659994
SI Layer 23,A19,12269,7355,4914,4.721204721203446
SI Layer 24,A19,12269,7355,4914,5.166553365102107
WavLM Frozen,Overall,71237,7355,63882,2.6204564666102588
Speaker Invariant (n=10),Overall,71237,7355,63882,2.706552706552712
RawNet2,Overall,71237,7355,63882,12.139569831870935
AASIST,Overall,71237,7355,63882,0.8157715840684551
SI Layer 0,Overall,71237,7355,63882,10.02039428962216
SI Layer 1,Overall,71237,7355,63882,3.6573759347367134
SI Layer 2,Overall,71237,7355,63882,1.6123477661939012
SI Layer 3,Overall,71237,7355,63882,0.9940202247914464
SI Layer 4,Overall,71237,7355,63882,0.9381373216298369
SI Layer 5,Overall,71237,7355,63882,0.5302515295018702
SI Layer 6,Overall,71237,7355,63882,0.5604082527161004
SI Layer 7,Overall,71237,7355,63882,0.5438477225380373
SI Layer 8,Overall,71237,7355,63882,0.48946295052090405
SI Layer 9,Overall,71237,7355,63882,0.40788579200774316
SI Layer 10,Overall,71237,7355,63882,0.5710401086181134
SI Layer 11,Overall,71237,7355,63882,0.6934058464634743
SI Layer 12,Overall,71237,7355,63882,0.7983469521679702
SI Layer 13,Overall,71237,7355,63882,0.8813124197736798
SI Layer 14,Overall,71237,7355,63882,0.9381373216451567
SI Layer 15,Overall,71237,7355,63882,0.9642778873539666
SI Layer 16,Overall,71237,7355,63882,1.0049779280548505
SI Layer 17,Overall,71237,7355,63882,1.2508497620624286
SI Layer 18,Overall,71237,7355,63882,1.5771583956668538
SI Layer 19,Overall,71237,7355,63882,1.9306594154258037
SI Layer 20,Overall,71237,7355,63882,2.105444413143155
SI Layer 21,Overall,71237,7355,63882,1.7610594533667863
SI Layer 22,Overall,71237,7355,63882,1.898813437274984
SI Layer 23,Overall,71237,7355,63882,2.2275445352367766
SI Layer 24,Overall,71237,7355,63882,2.7065527065510286
